Anno;Codice Regione;Descrizione Regione;Codice Asl;Asl ;Cod Dsm;DSM;Codice Sesso;Sesso;Gruppo Diagnostico;Numero Accessi 
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Alcolismo e tossicomanie;271
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Altri disturbi psichici;889
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Assenza di patologia psichiatrica;86
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Demenze e disturbi mentali organici;126
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Depressione;1606
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Diagnosi in attesa di definizione;631
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Disturbi della personalità e del comportamento;1748
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Mania e disturbi affettivi bipolari;1673
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Ritardo mentale;609
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Schizofrenia e altre psicosi funzionali;6532
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;1;Maschio;Sindromi nevrotiche e somatoformi;1056
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Alcolismo e tossicomanie;153
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Altri disturbi psichici;1940
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Assenza di patologia psichiatrica;139
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Demenze e disturbi mentali organici;125
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Depressione;3129
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Diagnosi in attesa di definizione;855
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Disturbi della personalità e del comportamento;1501
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Mania e disturbi affettivi bipolari;2163
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Ritardo mentale;502
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Schizofrenia e altre psicosi funzionali;4393
2022;010;PIEMONTE;203;TO3;D01;DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE;2;Femmina;Sindromi nevrotiche e somatoformi;1596
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Alcolismo e tossicomanie;244
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Altri disturbi psichici;576
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Assenza di patologia psichiatrica;119
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Demenze e disturbi mentali organici;189
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Depressione;1557
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Diagnosi in attesa di definizione;690
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Disturbi della personalità e del comportamento;1279
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Mania e disturbi affettivi bipolari;1105
2022;010;PIEMONTE;204;TO4;D01;DIPARTIMENTO DI SALUTE MENTALE;1;Maschio;Ritardo mentale;570
