ANNO DI RIFERIMENTO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;CODICE SERD;DENOMINAZIONE SERD;CODICE QUALIFICA;DESCRIZIONE QUALIFICA;NUM. DIP. TEMPO PIENO;NUM. DIP. TEMPO PIENO U;NUM. DIP. TEMPO PIENO D;NUM. DIP. PART TIME FINO 50%;NUM. DIP. PART TIME FINO 50% U;NUM. DIP. PART TIME FINO 50% D;NUM. DIP. PART TIME OLTRE 50%;NUM. DIP. PART TIME OLTRE 50% U;NUM. DIP. PART TIME OLTRE 50% D;PERSONALE DIPENDENTE;PERSONALE DIPENDENTE U;PERSONALE DIPENDENTE D;ALTRO RAPPORTO;ALTRO RAPPORTO U;ALTRO RAPPORTO D;TOTALE PERSONALE,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;SMS046;DI CUI PSICHIATRI;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;SSMP01;MEDICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;SSMP03;PERSONALE INFERMIERISTICO;3;0;3;1;0;1;0;0;0;4;0;4;0;0;0;4,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;SSMP05;EDUCATORE PROFESSIONALE;5;1;4;0;0;0;0;0;0;5;1;4;0;0;0;5,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;TSMP02;ASSISTENTE SOCIALE;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S01; Servizio per le dipendenze di VIA MARTIRI XXX APRILE 30;TSMP03;SOCIOLOGO;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S02; Servizio per le dipendenze di P.ZA TOGLIATTI 1/BIS;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S02; Servizio per le dipendenze di P.ZA TOGLIATTI 1/BIS;SSMP01;MEDICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S02; Servizio per le dipendenze di P.ZA TOGLIATTI 1/BIS;SSMP03;PERSONALE INFERMIERISTICO;1;0;1;0;0;0;1;0;1;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S02; Servizio per le dipendenze di P.ZA TOGLIATTI 1/BIS;SSMP05;EDUCATORE PROFESSIONALE;2;1;1;0;0;0;1;0;1;3;1;2;0;0;0;3,,
2021;010;PIEMONTE             ;203;TO3;S02; Servizio per le dipendenze di P.ZA TOGLIATTI 1/BIS;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S03; Servizio per le dipendenze di VIA MONTE PIRCHIRIANO 5;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S03; Servizio per le dipendenze di VIA MONTE PIRCHIRIANO 5;SSMP01;MEDICO;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S03; Servizio per le dipendenze di VIA MONTE PIRCHIRIANO 5;SSMP03;PERSONALE INFERMIERISTICO;2;0;2;0;0;0;1;0;1;3;0;3;0;0;0;3,,
2021;010;PIEMONTE             ;203;TO3;S03; Servizio per le dipendenze di VIA MONTE PIRCHIRIANO 5;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;2;0;2;3;0;3;0;0;0;3,,
2021;010;PIEMONTE             ;203;TO3;S03; Servizio per le dipendenze di VIA MONTE PIRCHIRIANO 5;TSMP02;ASSISTENTE SOCIALE;1;1;0;0;0;0;1;0;1;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S11; Servizio per le dipendenze di VIA SILVA 8 - 10;SSMP01;MEDICO;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S11; Servizio per le dipendenze di VIA SILVA 8 - 10;SSMP03;PERSONALE INFERMIERISTICO;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S11; Servizio per le dipendenze di VIA SILVA 8 - 10;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;1;0;1;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;203;TO3;S11; Servizio per le dipendenze di VIA SILVA 8 - 10;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S13; Servizio per le dipendenze di VIA SEMINARIO 45;SSMP03;PERSONALE INFERMIERISTICO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S13; Servizio per le dipendenze di VIA SEMINARIO 45;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S13; Servizio per le dipendenze di VIA SEMINARIO 45;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
