;;;;;;;
Utenti in carico ai SerD secondo la sostanza d�uso primaria - anno 2022;;;;;;;
;;;;;;;
Anno;Codice regione;Descrizione Regione;Codice ASL;ASL;SERD;Categoria Sostanza;Utenti
2022;010;PIEMONTE;203;TO3;A12                    ;OPPIACEI;1
2022;010;PIEMONTE;203;TO3;B01                    ;OPPIACEI;3
2022;010;PIEMONTE;203;TO3;B03                    ;OPPIACEI;40
2022;010;PIEMONTE;203;TO3;S01                    ;OPPIACEI;124
2022;010;PIEMONTE;203;TO3;S02                    ;OPPIACEI;104
2022;010;PIEMONTE;203;TO3;S03                    ;OPPIACEI;58
2022;010;PIEMONTE;203;TO3;S11                    ;OPPIACEI;65
2022;010;PIEMONTE;203;TO3;S13                    ;OPPIACEI;45
2022;010;PIEMONTE;203;TO3;S16                    ;OPPIACEI;16
2022;010;PIEMONTE;203;TO3;S17                    ;OPPIACEI;22
2022;010;PIEMONTE;203;TO3;S18                    ;OPPIACEI;105
2022;010;PIEMONTE;203;TO3;S19                    ;OPPIACEI;147
2022;010;PIEMONTE;204;TO4;S01                    ;OPPIACEI;136
2022;010;PIEMONTE;204;TO4;S02                    ;OPPIACEI;13
2022;010;PIEMONTE;204;TO4;S03                    ;OPPIACEI;130
2022;010;PIEMONTE;204;TO4;S05                    ;OPPIACEI;175
2022;010;PIEMONTE;204;TO4;S07                    ;OPPIACEI;25
2022;010;PIEMONTE;204;TO4;S18                    ;OPPIACEI;190
2022;010;PIEMONTE;204;TO4;S19                    ;OPPIACEI;201
2022;010;PIEMONTE;204;TO4;S20                    ;OPPIACEI;41
2022;010;PIEMONTE;204;TO4;S22                    ;OPPIACEI;23
2022;010;PIEMONTE;205;TO5;S01                    ;OPPIACEI;107
2022;010;PIEMONTE;205;TO5;S02                    ;OPPIACEI;115
2022;010;PIEMONTE;205;TO5;S03                    ;OPPIACEI;34
2022;010;PIEMONTE;205;TO5;S04                    ;OPPIACEI;105
2022;010;PIEMONTE;206;VC;S01                    ;OPPIACEI;166
2022;010;PIEMONTE;206;VC;S03                    ;OPPIACEI;75
2022;010;PIEMONTE;206;VC;S05                    ;OPPIACEI;43
2022;010;PIEMONTE;207;BI;S01                    ;OPPIACEI;300
2022;010;PIEMONTE;207;BI;S02                    ;OPPIACEI;174
2022;010;PIEMONTE;207;BI;S03                    ;OPPIACEI;48
2022;010;PIEMONTE;208;NO;S01                    ;OPPIACEI;127
2022;010;PIEMONTE;208;NO;S02                    ;OPPIACEI;62
2022;010;PIEMONTE;208;NO;S03                    ;OPPIACEI;116
2022;010;PIEMONTE;208;NO;S04                    ;OPPIACEI;105
2022;010;PIEMONTE;208;NO;S09                    ;OPPIACEI;8
2022;010;PIEMONTE;209;VCO;S01                    ;OPPIACEI;95
2022;010;PIEMONTE;209;VCO;S02                    ;OPPIACEI;151
2022;010;PIEMONTE;209;VCO;S03                    ;OPPIACEI;76
2022;010;PIEMONTE;209;VCO;S04                    ;OPPIACEI;2
2022;010;PIEMONTE;210;CN1;A01                    ;OPPIACEI;
2022;010;PIEMONTE;210;CN1;S01                    ;OPPIACEI;201
2022;010;PIEMONTE;210;CN1;S04                    ;OPPIACEI;25
2022;010;PIEMONTE;210;CN1;S05                    ;OPPIACEI;98
2022;010;PIEMONTE;210;CN1;S06                    ;OPPIACEI;
2022;010;PIEMONTE;210;CN1;S07                    ;OPPIACEI;73
2022;010;PIEMONTE;210;CN1;S09                    ;OPPIACEI;57
2022;010;PIEMONTE;210;CN1;S11                    ;OPPIACEI;4
2022;010;PIEMONTE;210;CN1;S12                    ;OPPIACEI;7
2022;010;PIEMONTE;211;CN2;S01                    ;OPPIACEI;115
2022;010;PIEMONTE;211;CN2;S02                    ;OPPIACEI;165
2022;010;PIEMONTE;211;CN2;S03                    ;OPPIACEI;12
2022;010;PIEMONTE;212;AT;S01                    ;OPPIACEI;260
2022;010;PIEMONTE;212;AT;S02                    ;OPPIACEI;72
2022;010;PIEMONTE;213;AL;B01                    ;OPPIACEI;13
2022;010;PIEMONTE;213;AL;S01                    ;OPPIACEI;253
2022;010;PIEMONTE;213;AL;S02                    ;OPPIACEI;74
2022;010;PIEMONTE;213;AL;S07                    ;OPPIACEI;35
2022;010;PIEMONTE;213;AL;S08                    ;OPPIACEI;157
2022;010;PIEMONTE;213;AL;S09                    ;OPPIACEI;92
2022;010;PIEMONTE;213;AL;S10                    ;OPPIACEI;4
2022;010;PIEMONTE;213;AL;S11                    ;OPPIACEI;104
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;A02                    ;OPPIACEI;
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;A12                    ;OPPIACEI;21
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S01                    ;OPPIACEI;268
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S02                    ;OPPIACEI;2
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S03                    ;OPPIACEI;196
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S04                    ;OPPIACEI;297
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S09                    ;OPPIACEI;204
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S10                    ;OPPIACEI;216
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S11                    ;OPPIACEI;306
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S12                    ;OPPIACEI;325
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S16                    ;OPPIACEI;311
2022;010;PIEMONTE;301;ASL CITTA' DI TORINO;S17                    ;OPPIACEI;124
2022;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;A01                    ;OPPIACEI;20
2022;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;B01                    ;OPPIACEI;23
2022;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;S01                    ;OPPIACEI;169
2022;030;LOMBARDIA;321;ATS DELLA CITTA' METROPOLITANA DI MILANO;S22                    ;OPPIACEI;201
2022;030;LOMBARDIA;321;ATS DELLA CITTA' METROPOLITANA DI MILANO;S70                    ;OPPIACEI;105
2022;030;LOMBARDIA;323;ATS DELLA MONTAGNA;S47                    ;OPPIACEI;37
2022;030;LOMBARDIA;324;ATS DELLA BRIANZA;S10                    ;OPPIACEI;47
2022;030;LOMBARDIA;324;ATS DELLA BRIANZA;S91                    ;OPPIACEI;26
2022;030;LOMBARDIA;325;ATS DI BERGAMO;S01                    ;OPPIACEI;36
2022;030;LOMBARDIA;325;ATS DI BERGAMO;S02                    ;OPPIACEI;24
2022;030;LOMBARDIA;326;ATS DI BRESCIA;S91                    ;OPPIACEI;74
2022;030;LOMBARDIA;326;ATS DI BRESCIA;S92                    ;OPPIACEI;56
2022;030;LOMBARDIA;326;ATS DI BRESCIA;S93                    ;OPPIACEI;119
2022;030;LOMBARDIA;326;ATS DI BRESCIA;S94                    ;OPPIACEI;101
2022;030;LOMBARDIA;327;ATS DELLA VAL PADANA;S01                    ;OPPIACEI;15
2022;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S02                    ;OPPIACEI;290
2022;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S03                    ;OPPIACEI;226
2022;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S05                    ;OPPIACEI;48
2022;030;LOMBARDIA;703;ASST FATEBENEFRATELLI SACCO;S06                    ;OPPIACEI;348
2022;030;LOMBARDIA;703;ASST FATEBENEFRATELLI SACCO;S07                    ;OPPIACEI;44
2022;030;LOMBARDIA;705;ASST OVEST MILANESE;S03                    ;OPPIACEI;1
2022;030;LOMBARDIA;705;ASST OVEST MILANESE;S04                    ;OPPIACEI;117
2022;030;LOMBARDIA;705;ASST OVEST MILANESE;S06                    ;OPPIACEI;79
2022;030;LOMBARDIA;706;ASST RHODENSE;S01                    ;OPPIACEI;
2022;030;LOMBARDIA;706;ASST RHODENSE;S02                    ;OPPIACEI;196
2022;030;LOMBARDIA;706;ASST RHODENSE;S07                    ;OPPIACEI;61
2022;030;LOMBARDIA;707;ASST NORD MILANO;S08                    ;OPPIACEI;166
2022;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S01                    ;OPPIACEI;171
2022;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S02                    ;OPPIACEI;212
2022;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S03                    ;OPPIACEI;125
2022;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S06                    ;OPPIACEI;91
2022;030;LOMBARDIA;709;ASST DI LODI;S01                    ;OPPIACEI;207
2022;030;LOMBARDIA;709;ASST DI LODI;S02                    ;OPPIACEI;61
2022;030;LOMBARDIA;709;ASST DI LODI;S03                    ;OPPIACEI;107
2022;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S01                    ;OPPIACEI;155
2022;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S02                    ;OPPIACEI;63
2022;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S03                    ;OPPIACEI;78
2022;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S04                    ;OPPIACEI;169
2022;030;LOMBARDIA;711;ASST DELLA VALLE OLONA;S01                    ;OPPIACEI;204
2022;030;LOMBARDIA;711;ASST DELLA VALLE OLONA;S02                    ;OPPIACEI;153
2022;030;LOMBARDIA;711;ASST DELLA VALLE OLONA;S03                    ;OPPIACEI;94
2022;030;LOMBARDIA;712;ASST LARIANA;S01                    ;OPPIACEI;335
2022;030;LOMBARDIA;712;ASST LARIANA;S02                    ;OPPIACEI;157
2022;030;LOMBARDIA;712;ASST LARIANA;S03                    ;OPPIACEI;63
2022;030;LOMBARDIA;712;ASST LARIANA;S06                    ;OPPIACEI;250
2022;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;A01                    ;OPPIACEI;12
2022;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;B01                    ;OPPIACEI;33
2022;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;C01                    ;OPPIACEI;111
2022;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;D01                    ;OPPIACEI;48
2022;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;S01                    ;OPPIACEI;119
2022;030;LOMBARDIA;714;ASST DELLA VALCAMONICA;S01                    ;OPPIACEI;53
2022;030;LOMBARDIA;715;ASST DI LECCO;S01                    ;OPPIACEI;228
2022;030;LOMBARDIA;715;ASST DI LECCO;S02                    ;OPPIACEI;57
2022;030;LOMBARDIA;715;ASST DI LECCO;S03                    ;OPPIACEI;70
2022;030;LOMBARDIA;716;ASST DI MONZA;S01                    ;OPPIACEI;119
2022;030;LOMBARDIA;716;ASST DI MONZA;S08                    ;OPPIACEI;48
2022;030;LOMBARDIA;717;ASST DELLA BRIANZA;S02                    ;OPPIACEI;164
2022;030;LOMBARDIA;717;ASST DELLA BRIANZA;S10                    ;OPPIACEI;74
2022;030;LOMBARDIA;718;ASST PAPA GIOVANNI XXIII;S01                    ;OPPIACEI;690
2022;030;LOMBARDIA;719;ASST DI BERGAMO OVEST;S01                    ;OPPIACEI;189
2022;030;LOMBARDIA;719;ASST DI BERGAMO OVEST;S02                    ;OPPIACEI;145
2022;030;LOMBARDIA;719;ASST DI BERGAMO OVEST;S03                    ;OPPIACEI;135
2022;030;LOMBARDIA;720;ASST DI BERGAMO EST;S01                    ;OPPIACEI;123
